iter	MultiClass
0	0.9942198489
1	0.9139479715
2	0.8510554959
3	0.7995173659
4	0.7568776134
5	0.7194380838
6	0.6886294182
7	0.6629231455
8	0.6413122057
9	0.6216167564
10	0.6046785597
11	0.5890801189
12	0.5766462257
13	0.5650481596
14	0.5545375912
15	0.5451515167
16	0.5370826109
17	0.5296415632
18	0.5234354267
19	0.5174701218
20	0.5126618058
21	0.5077889378
22	0.5040443849
23	0.4998671508
24	0.4964886085
25	0.4932014241
26	0.4905359779
27	0.4876483002
28	0.4848856493
29	0.4827272697
30	0.4807102801
31	0.4786817352
32	0.477063467
33	0.4753641135
34	0.4739920261
35	0.4728472233
36	0.4712794485
37	0.4698769616
38	0.4689229561
39	0.4676881635
40	0.4665815097
41	0.465505001
42	0.4645133614
43	0.4635299922
44	0.4627681662
45	0.4619917101
46	0.4610694046
47	0.4604672653
48	0.4596693038
49	0.4591563398
50	0.458621984
51	0.4579588865
52	0.4573067854
53	0.4567628502
54	0.4564301103
55	0.4559523643
56	0.4553348645
57	0.4547384326
58	0.4544103157
59	0.4540527145
60	0.453488448
61	0.4531906809
62	0.4528281901
63	0.4525582657
64	0.451917064
65	0.4515673802
66	0.451208392
67	0.4509183146
68	0.45074839
69	0.4504121173
70	0.4502387276
71	0.4499358478
72	0.4494200156
73	0.4491439615
74	0.4486349951
75	0.4481138155
76	0.4479262496
77	0.4475855302
78	0.4472808324
79	0.4469949125
80	0.4466976555
81	0.4464173575
82	0.4460687563
83	0.4458830561
84	0.4454411469
85	0.4450934965
86	0.4449276077
87	0.4445665819
88	0.4442180557
89	0.443835016
90	0.4435621186
91	0.443092267
92	0.4429400357
93	0.4425080959
94	0.4423080695
95	0.4420662498
96	0.4418838429
97	0.4415525943
98	0.4412493906
99	0.4410125538
100	0.4409104801
101	0.4405715
102	0.4403791733
103	0.440226558
104	0.439990019
105	0.4397081923
106	0.4395321068
107	0.4392428734
108	0.4390125663
109	0.4387841875
110	0.438535219
111	0.438263533
112	0.4381475703
113	0.4379082947
114	0.4377779256
115	0.4375566115
116	0.4373887411
117	0.4372600601
118	0.4370993509
119	0.4368515281
120	0.4366327101
121	0.4363434018
122	0.4361824683
