iter	Passed	Remaining
0	153	153692
1	193	96315
2	238	79110
3	285	71038
4	324	64511
5	366	60639
6	401	56911
7	436	54128
8	473	52158
9	509	50426
10	548	49279
11	584	48132
12	620	47074
13	660	46493
14	701	46064
15	737	45369
16	775	44833
17	814	44411
18	862	44545
19	905	44392
20	954	44477
21	991	44081
22	1030	43790
23	1063	43268
24	1099	42892
25	1131	42393
26	1168	42098
27	1206	41866
28	1252	41952
29	1301	42066
30	1336	41761
31	1368	41401
32	1404	41166
33	1442	40987
34	1481	40857
35	1516	40605
36	1549	40331
37	1585	40149
38	1619	39905
39	1652	39669
40	1683	39388
41	1717	39164
42	1753	39029
43	1786	38806
44	1816	38551
45	1849	38353
46	1881	38153
47	1911	37903
48	1940	37654
49	1968	37402
50	2001	37242
51	2034	37088
52	2066	36926
53	2097	36739
54	2130	36611
55	2169	36566
56	2207	36516
57	2249	36532
58	2288	36500
59	2333	36553
60	2374	36557
61	2417	36579
62	2461	36609
63	2493	36473
64	2530	36396
65	2563	36273
66	2593	36113
67	2622	35939
68	2654	35810
69	2687	35703
70	2714	35521
71	2747	35409
72	2780	35313
73	2813	35211
74	2847	35115
75	2881	35033
76	2913	34927
77	2947	34835
78	2974	34683
79	3008	34595
80	3040	34494
81	3071	34384
82	3106	34316
83	3133	34175
84	3167	34092
85	3208	34097
86	3251	34118
87	3295	34153
88	3331	34104
89	3371	34089
90	3402	33983
91	3437	33927
92	3464	33791
93	3495	33688
94	3533	33657
95	3566	33584
96	3596	33481
97	3635	33458
98	3680	33500
99	3713	33419
100	3739	33282
101	3773	33223
102	3800	33097
103	3827	32977
104	3859	32899
105	3893	32837
106	3923	32746
107	3960	32713
108	3991	32628
109	4024	32558
110	4056	32487
111	4087	32406
112	4114	32300
113	4145	32221
114	4178	32153
115	4218	32144
116	4258	32135
117	4297	32124
118	4328	32043
119	4361	31981
120	4390	31891
121	4425	31851
122	4458	31791
123	4492	31736
124	4521	31649
125	4550	31565
126	4589	31551
127	4618	31463
128	4654	31428
129	4688	31380
130	4725	31345
131	4761	31310
132	4791	31234
133	4825	31188
134	4855	31112
135	4887	31049
136	4917	30979
137	4946	30898
138	4980	30849
139	5012	30789
140	5042	30721
141	5074	30659
142	5102	30577
143	5134	30520
144	5173	30504
145	5221	30544
146	5253	30487
147	5283	30418
148	5317	30371
149	5353	30338
150	5386	30286
151	5426	30272
152	5455	30203
153	5484	30131
154	5517	30079
155	5542	29983
156	5577	29948
157	5608	29887
158	5638	29823
159	5669	29765
160	5704	29726
161	5737	29680
162	5762	29591
163	5788	29509
164	5825	29480
165	5859	29440
166	5892	29394
167	5927	29357
168	5966	29337
169	5999	29291
170	6032	29245
171	6060	29173
